ID Estacion,Autoridad Ambiental,Estación,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),Año,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Máximo,Fechas/horas del máximo,Mínimo,Fechas/horas del mínimo,Días de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estación
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,DViento,deg,1,2011,256.8,321637.5091,1411,16.0,0,0.0,244.2,350.8,359.5,2011-11-29 01:00:00.000000000,1.3,2011-11-29 07:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,DViento,deg,24,2011,257.4,14984.01,59,16.0,0,0.0,257.9,304.2,336.8,2011-11-16 00:00:00.000000000,99.7,2011-11-08 00:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,PLiquida,mm,1,2011,4.0,293.5,74,1.0,0,0.0,2.8,12.8,23.0,2011-12-20 02:00:00.000000000,1.5,2011-11-07 23:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,P,mmHg,1,2011,645.9,2917013.928,4516,52.0,0,0.0,646.1,648.1,649.8,2011-09-12 10:00:00.000000000,641.6,2011-10-27 17:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,P,mmHg,24,2011,645.9,121434.69,188,52.0,0,0.0,645.9,647.2,647.9,2011-10-20 00:00:00.000000000,644.0,2011-10-27 00:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,PST,ugm3,24,2011,72.0,6353.05,84,69.0,0,0.0,73.4,124.8,155.7,2011-12-02 00:00:00.000000000,21.1,2011-06-23 00:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,RGlobal,Wm2,1,2011,158.9,224195.8715,1411,16.0,0,0.0,6.5,777.3,946.6,2011-11-19 13:00:00.000000000,4.0,2011-11-03 01:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,RGlobal,Wm2,24,2011,158.9,9375.37,59,16.0,0,0.0,157.0,227.4,233.4,2011-11-21 00:00:00.000000000,105.8,2011-12-27 00:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,TAire2,Celsius,1,2011,21.2,14682.27347,694,8.0,0,0.0,20.2,27.1,29.3,2011-12-22 16:00:00.000000000,16.8,2011-12-12 08:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
9020.0,AMVA,I.E. COL. COLOMBIA,6.378517,-75.443986,TAire2,Celsius,24,2011,21.2,613.55,29,8.0,0,0.0,21.2,22.6,23.0,2011-12-22 00:00:00.000000000,19.4,2011-12-08 00:00:00.000000000,0,ANTIOQUIA,GIRARDOTA,Fija
